,Valor,Calificacion,Area
2520,1113508,4.0,1289
2521,608577,10.0,4931
2523,706236,10.0,419
2524,973713,2.0,2311
2526,923797,1.0,1796
2527,625352,3.0,3988
2528,465269,2.0,4139
2529,444631,1.0,1231
2530,784120,10.0,2845
2531,944946,1.0,959
2532,444690,10.0,367
2533,453694,2.0,3085
2534,789961,1.0,470
2535,595253,7.0,2066
2536,879895,8.0,2331
2537,710497,8.0,3747
2538,540225,2.0,1045
2539,379637,4.0,2719
2540,1085385,1.0,1408
2542,725548,2.0,4713
2543,830494,5.0,1149
2544,599848,3.0,1359
2545,539289,9.0,4567
2546,1072778,6.0,3785
2547,711377,4.0,3388
2548,799758,8.0,808
2549,952774,5.0,2669
2550,430112,4.0,1060
2551,564112,2.0,3203
2552,623185,9.0,1894
2553,1073000,4.0,2097
2554,1042045,1.0,4043
2555,813887,3.0,4374
2556,415172,5.0,3031
2557,426438,9.0,3021
2558,843457,6.0,4160
2559,500484,2.0,3371
2560,439882,10.0,921
2561,681997,5.0,2772
2562,484845,4.0,4350
2563,413762,4.0,1840
2566,765940,10.0,3823
2567,1037848,2.0,1588
2568,750486,8.0,2742
2570,1096388,1.0,4806
2571,947111,4.0,3365
2572,1048911,1.0,4052
2573,898256,1.0,424
2574,924210,2.0,1056
2575,823125,7.0,2442
2577,980870,1.0,1951
2579,971717,1.0,3522
2580,505756,2.0,1738
2581,800396,3.0,3629
2582,801164,6.0,2410
2583,475024,1.0,3376
2584,1047403,2.0,2400
2585,576524,9.0,1322
2586,908456,6.0,240
2587,422534,7.0,3328
2588,378225,7.0,3759
2589,643693,2.0,627
2591,949426,8.0,3278
2592,1066835,9.0,4013
2593,917574,2.0,2477
2595,425779,1.0,3397
2596,384656,3.0,4966
2597,408216,6.0,2996
2598,714168,1.0,1770
2599,355299,6.0,3333
2600,387543,7.0,3821
2601,795290,8.0,4712
2602,524185,2.0,406
2603,893449,6.0,629
2604,816200,8.0,4528
2605,851111,5.0,1534
2606,940238,5.0,1972
2607,837447,8.0,3325
2608,751870,6.0,3026
2609,1093039,3.0,2395
2610,402762,1.0,2939
2612,368616,3.0,4220
2613,814130,10.0,3552
2615,1057391,7.0,291
2616,776418,3.0,4661
2617,685129,7.0,2372
2618,710962,9.0,942
2619,978724,6.0,157
2620,957277,2.0,3927
2621,1015164,6.0,614
2622,897579,1.0,2387
2623,491840,9.0,2458
2624,1002326,5.0,2375
2625,396380,9.0,1603
2626,811261,6.0,604
2627,1041289,4.0,4154
2628,395215,3.0,3573
2630,1049369,3.0,3548
2631,695940,1.0,782
2632,759856,3.0,3620
2634,393238,4.0,1328
2635,1066925,7.0,841
2636,883062,1.0,2133
2637,556018,8.0,3123
2638,929045,5.0,1501
2639,874542,9.0,3614
2641,1081562,3.0,1609
2642,1058908,1.0,167
2643,1035248,2.0,2716
2644,456697,6.0,4224
2645,964687,10.0,879
2646,481115,1.0,2848
2647,370182,5.0,2675
2648,1025210,6.0,4779
2649,624033,6.0,1204
2650,674290,4.0,525
2651,680034,9.0,3099
2652,837756,9.0,2411
2653,914663,7.0,2216
2654,965622,4.0,4923
2655,501036,7.0,816
2657,853845,4.0,4198
2658,513809,6.0,3518
2659,978694,8.0,4696
2660,1006365,5.0,1987
2661,500709,3.0,2827
2662,651275,8.0,3140
2663,633240,9.0,2800
2664,1037801,2.0,4971
2665,793424,4.0,2753
2666,876255,6.0,891
2667,630051,1.0,4511
2669,442279,6.0,2895
2670,1050083,6.0,1823
2671,503133,8.0,2823
2672,514122,7.0,2694
2673,364310,7.0,2547
2674,755951,3.0,2743
2675,897381,4.0,4816
2676,517975,8.0,3786
2677,632422,3.0,2425
2678,870025,10.0,514
2679,833309,1.0,2843
2680,452832,8.0,4473
2682,1082910,3.0,4213
2683,698318,10.0,2014
2684,913798,4.0,4499
2685,550205,7.0,876
2686,456768,7.0,3443
2687,647170,3.0,1921
2688,777731,7.0,1540
2689,900007,1.0,3440
2690,1140676,1.0,2378
2691,549760,7.0,1846
2692,524303,10.0,3459
2693,367699,9.0,4597
2694,756525,6.0,4899
2695,446497,6.0,2254
2696,827073,4.0,2633
2697,494534,6.0,1416
2698,809605,1.0,2797
2699,706291,6.0,3552
2700,836118,1.0,4663
2702,952990,2.0,3790
2703,566808,3.0,272
2704,576048,6.0,3583
2705,631961,3.0,1505
2706,556011,3.0,3265
2707,414993,8.0,2053
2708,908056,6.0,1879
2709,514655,8.0,155
2710,400814,8.0,814
2711,661508,4.0,1595
2712,404695,10.0,944
2713,867525,6.0,3834
2714,496430,7.0,1416
2715,648056,10.0,4391
2716,827852,6.0,4780
2717,561315,6.0,788
2718,791753,6.0,887
2719,706267,10.0,379
2720,1024113,6.0,4660
2721,1042676,7.0,1155
2722,375323,8.0,1410
2723,944180,9.0,3549
2724,977157,1.0,3929
2725,549915,5.0,4455
2726,712423,2.0,4397
2727,1132774,10.0,1484
2728,602647,4.0,2009
2729,350312,6.0,3986
2730,1127314,2.0,1249
2731,1097629,10.0,2429
2732,388425,3.0,337
2733,803304,9.0,3807
2734,639923,10.0,3439
2735,514142,7.0,2388
2736,461532,6.0,666
2737,962438,1.0,2148
2738,909519,1.0,500
2739,1089181,3.0,4954
2740,1133505,4.0,4807
2741,1086365,5.0,2501
2742,615351,7.0,773
2743,782814,8.0,783
2744,718878,6.0,1293
2745,666135,5.0,3116
2747,1142919,8.0,2706
2748,655640,6.0,1085
2749,771051,3.0,3368
2750,436238,4.0,927
2751,1020017,2.0,2971
2752,615195,10.0,2907
2753,376566,2.0,434
2754,1065559,5.0,247
2755,675415,3.0,2424
2756,910519,9.0,807
2757,601374,4.0,4188
2758,497574,9.0,3765
2759,410207,8.0,387
2760,727743,6.0,2888
2761,1093500,9.0,2576
2762,816083,6.0,1742
2764,1016148,2.0,3805
2765,541770,8.0,1999
2768,576043,6.0,3837
2769,1103015,5.0,385
2770,398463,9.0,3946
2771,604116,2.0,2725
2772,882879,4.0,511
2773,473664,4.0,1267
2774,572039,8.0,196
2775,948118,6.0,2330
2776,978716,8.0,4405
2777,638084,6.0,3335
2779,863057,9.0,1495
2780,757143,1.0,2786
2781,750302,6.0,4883
2782,621785,6.0,3997
2783,799429,6.0,4992
2784,584282,3.0,2753
2785,813403,8.0,3786
2786,808964,5.0,4383
2787,988909,5.0,1405
2788,430531,6.0,4802
2789,386636,9.0,4058
2790,1139231,4.0,1470
2791,1020104,4.0,530
2792,786475,5.0,4969
2793,762061,6.0,3347
2794,722972,6.0,3978
2795,518379,3.0,4639
2796,810139,9.0,4060
2797,867317,1.0,2965
2800,917924,2.0,1793
2801,881571,1.0,4489
2802,1040073,3.0,4479
2803,1010446,8.0,2209
2804,457767,3.0,4500
2805,496550,10.0,227
2806,938497,7.0,4907
2807,556419,8.0,3781
2808,847945,1.0,1427
2810,552295,3.0,1060
2812,1147275,8.0,3944
2813,1122235,3.0,552
2814,624381,3.0,157
2815,487384,9.0,880
2816,801855,3.0,2329
2818,788347,1.0,3133
2819,367144,5.0,3998
2820,831110,6.0,1673
2822,825923,2.0,1582
2823,549676,5.0,2854
2824,1109525,6.0,2661
2825,1124062,6.0,857
2826,968809,6.0,4522
2827,1045898,7.0,1351
2828,675576,4.0,1610
2829,1024671,3.0,4570
2830,866930,4.0,2795
2831,803422,5.0,3055
2832,351057,10.0,3565
2833,775770,10.0,181
2834,485560,9.0,736
2835,425369,5.0,4267
2836,1009053,6.0,3874
2837,465640,10.0,3973
2838,398131,9.0,4623
2839,648428,4.0,4574
2840,579362,8.0,4645
2841,755998,9.0,4426
2842,555355,6.0,305
2843,462033,10.0,2772
2844,719431,4.0,1245
2845,759476,6.0,3444
2846,366140,9.0,2439
2847,826414,6.0,3027
2849,1029161,3.0,2931
2850,869842,7.0,4180
2851,591936,7.0,2200
2852,876519,5.0,2165
2853,471123,8.0,1998
2854,743455,8.0,2747
2855,433818,6.0,2587
2856,526339,4.0,2153
2857,443938,6.0,3097
2858,907185,2.0,2016
2860,364158,1.0,958
2861,391704,9.0,3012
2862,588234,6.0,3495
2863,609089,7.0,226
2864,574188,8.0,2993
2865,352834,1.0,4162
2866,848771,6.0,4791
2867,422022,8.0,3754
2868,997669,4.0,3959
2869,429856,9.0,3744
2870,789489,7.0,1352
2872,680589,7.0,3315
2873,1043868,6.0,3637
2874,702912,7.0,2934
2875,855036,7.0,3137
2876,1136553,7.0,3278
2877,884444,6.0,2629
2878,444138,1.0,4801
2879,548373,1.0,3979
2880,925723,2.0,3090
2881,680169,3.0,571
2882,407335,1.0,4314
2884,716598,4.0,4793
2885,461568,5.0,2148
2886,626010,3.0,1729
2887,1131413,1.0,4281
2888,1004142,1.0,3391
2889,1114986,2.0,4932
2891,955539,7.0,4771
2892,359874,8.0,4665
2893,1113776,2.0,1559
2894,629677,3.0,1786
2895,586868,7.0,1406
2897,761156,3.0,763
2898,922835,3.0,3519
2899,427434,4.0,2261
2900,364054,4.0,4906
2901,779923,9.0,2893
2902,630316,5.0,4419
2903,1003653,3.0,4609
2904,793117,8.0,1013
2905,1038711,4.0,4858
2907,774589,7.0,366
2908,1143601,6.0,3991
2909,585025,6.0,2290
2910,715831,1.0,3254
2912,894734,8.0,2710
2913,890797,7.0,1521
2914,405365,8.0,3685
2915,1148438,9.0,2866
2916,768110,6.0,2793
2917,671934,9.0,3877
2918,745074,6.0,392
2920,835585,7.0,3447
2921,461157,2.0,804
2922,713985,6.0,3764
2923,696276,8.0,4917
2924,703198,9.0,4691
2925,1112056,1.0,490
2926,446277,9.0,2378
2927,384223,6.0,681
2928,695260,5.0,4945
2930,736099,5.0,3367
2931,946695,4.0,3778
2933,629521,2.0,3322
2934,781602,1.0,4342
2935,1119993,5.0,1823
2936,1006734,2.0,1099
2937,1140063,7.0,3325
2938,868352,6.0,491
2939,818741,2.0,2449
2940,513904,4.0,1558
2941,1062761,9.0,440
2942,978250,3.0,1622
2943,1056167,6.0,1911
2944,678507,7.0,4128
2945,533596,7.0,1841
2946,456651,7.0,923
2947,892975,3.0,3961
2949,620918,2.0,4689
2950,937334,8.0,1531
2952,1139989,4.0,1697
2953,1124454,10.0,1391
2954,446565,5.0,4171
2955,618818,4.0,4575
2956,430007,7.0,1597
2959,727277,10.0,3197
2960,387745,1.0,1893
2961,1076641,2.0,2987
2962,878133,9.0,3520
2963,1094254,5.0,4840
2964,743890,2.0,3604
2965,568274,1.0,3002
2966,767175,3.0,4482
2968,1005332,6.0,4141
2969,460640,5.0,4128
2971,973078,2.0,1642
2972,1136770,7.0,2141
2973,868592,7.0,2689
2974,1122544,6.0,3054
2975,716353,10.0,4883
2976,459696,2.0,1254
2977,794774,6.0,744
2978,1077706,4.0,4307
2979,930467,4.0,2524
2980,458242,3.0,3813
2981,962635,6.0,3445
2982,457304,7.0,2763
2983,801888,3.0,436
2984,960415,1.0,3760
2985,513680,7.0,1951
2986,975632,2.0,2966
2987,972952,9.0,3733
2988,1000752,6.0,2842
2989,430815,8.0,2156
2990,481138,2.0,4026
2991,927053,6.0,3472
2992,845429,5.0,1215
2993,973100,7.0,3499
2994,1009024,5.0,748
2995,898366,6.0,3548
2996,1074124,4.0,1073
2997,417314,6.0,333
2998,699567,6.0,714
2999,1048216,10.0,3972
3000,445323,6.0,1701
3001,1145441,4.0,4739
3002,1000365,1.0,4211
3004,617651,5.0,2475
3005,1088891,6.0,3480
3007,370404,3.0,4327
3008,817294,9.0,3722
3009,1130374,7.0,2083
3010,727311,5.0,2222
3011,1068262,4.0,3617
3012,1069184,1.0,289
3013,919191,8.0,4017
3014,572642,3.0,3126
3015,444048,4.0,1560
3016,1085661,2.0,1514
3017,885327,8.0,220
3018,589006,9.0,3821
3019,1136416,10.0,714
3020,996997,4.0,1917
3021,1140983,3.0,1707
3022,938003,3.0,744
3023,369393,2.0,315
3025,947103,7.0,3333
3026,449307,7.0,3438
3027,689868,1.0,3571
3028,1059798,8.0,1079
3029,578250,10.0,303
3030,523171,6.0,3475
3031,834678,3.0,4139
3032,526290,2.0,2808
3034,854431,10.0,4219
3035,588120,2.0,4748
3036,647521,3.0,1753
3037,702372,7.0,1109
3038,564637,8.0,1891
3039,953150,4.0,3302
3040,1083160,2.0,4304
3041,748769,4.0,4991
3042,914596,5.0,750
3043,1148407,8.0,2972
3044,1064674,7.0,4032
3045,395662,9.0,1250
3046,941924,2.0,3725
3047,612894,6.0,1403
3048,1051840,5.0,3781
3049,849112,3.0,3250
3050,689097,4.0,229
3051,867175,1.0,1035
3053,697081,6.0,4560
3054,578055,5.0,1689
3055,514530,9.0,3208
3056,662107,4.0,631
3057,806220,7.0,1695
3058,1090379,4.0,1093
3059,1136438,6.0,2370
3060,824852,9.0,2137
3061,406317,2.0,4234
3062,534329,6.0,1861
3063,894359,5.0,4881
3064,459462,5.0,1181
3065,912791,5.0,1714
3066,872509,2.0,3712
3067,594697,9.0,616
3068,957567,3.0,316
3069,721930,4.0,1890
3070,661774,7.0,836
3071,503212,7.0,3725
3072,679735,5.0,3710
3073,631810,10.0,463
3074,437637,5.0,1897
3076,978511,6.0,4866
3077,680491,4.0,3381
3078,621053,6.0,2178
3080,350608,4.0,3711
3081,358676,1.0,1618
3082,1128268,6.0,2101
3083,426452,5.0,1566
3085,1059417,4.0,265
3086,966033,3.0,3381
3087,711112,9.0,2333
3088,572143,6.0,4950
3089,556806,6.0,1228
3090,1000989,6.0,3296
3091,360835,1.0,4374
3092,997531,5.0,4769
3094,724139,7.0,2510
3096,1125346,8.0,3714
3097,940698,3.0,1152
3098,801861,7.0,3779
3099,598970,1.0,3299
3100,1132488,4.0,1140
3101,768228,9.0,3036
3104,683615,9.0,3549
3105,551644,10.0,3924
3108,643621,10.0,1934
3109,925888,1.0,632
3110,890843,8.0,4434
3111,758026,6.0,2494
3112,701212,6.0,3552
3113,887868,3.0,3987
3114,915146,1.0,4806
3116,381015,6.0,3646
3117,716762,8.0,1686
3118,1064416,8.0,3598
3119,635921,8.0,4720
3120,1067885,1.0,4126
3121,622889,9.0,2979
3122,699725,3.0,2368
3123,489682,6.0,333
3124,1064487,1.0,2643
3125,655827,8.0,4861
3126,1138110,6.0,4435
3127,866379,9.0,2133
3128,641801,2.0,2390
3129,772173,9.0,570
3130,1071063,1.0,4779
3131,781636,5.0,3163
3132,1109866,8.0,2797
3133,833841,9.0,1347
3134,618082,3.0,4297
3135,547077,2.0,1541
3136,528587,6.0,2261
3137,579543,5.0,4279
3139,987423,1.0,1829
3140,376342,7.0,3234
3141,599697,5.0,3535
3142,709496,3.0,747
3143,789710,9.0,2566
3144,534877,6.0,3096
3145,1042856,1.0,1907
3146,1041279,4.0,3586
3147,995466,4.0,1584
3148,558825,3.0,709
3149,397012,3.0,2275
3150,822655,4.0,3970
3151,638352,6.0,1886
3152,964923,3.0,4470
3153,462239,9.0,1938
3154,1149146,8.0,1608
3155,736967,1.0,3788
3156,1115238,1.0,4069
3157,501000,2.0,1930
3158,910483,2.0,1037
3159,896626,9.0,1438
3160,1078478,6.0,3110
3161,409679,4.0,1727
3162,1134328,10.0,4681
3163,1112920,9.0,4429
3164,376568,6.0,4485
3165,958560,9.0,4529
3166,411720,9.0,1881
3167,932554,3.0,4972
3168,756461,7.0,1198
3169,912760,5.0,2624
3170,802392,8.0,1922
3171,749346,6.0,1870
3172,1038096,2.0,1675
3173,617293,3.0,2708
3174,852942,10.0,2918
3176,697800,7.0,2833
3177,544784,6.0,1010
3178,442904,1.0,4693
3179,1097588,6.0,4146
3180,843836,5.0,2576
3181,1121489,7.0,4314
3182,1119186,4.0,4912
3183,703380,8.0,473
3184,692853,2.0,1357
3185,856033,1.0,2760
3186,1020469,4.0,1952
3187,519420,5.0,971
3188,405214,1.0,1888
3189,820242,4.0,3457
3190,573147,4.0,653
3191,1000511,4.0,1925
3192,997606,7.0,259
3193,543419,6.0,4289
3194,957589,3.0,1295
3195,561918,9.0,4474
3196,532159,5.0,4013
3197,812361,4.0,2349
3198,694290,3.0,3529
3199,1122854,9.0,2672
3200,754506,1.0,894
3201,719832,7.0,4382
3202,494465,2.0,2829
3203,904879,3.0,3094
3204,651181,2.0,1069
3205,689605,1.0,2148
3206,1088930,6.0,158
3207,969747,2.0,2168
3208,494117,6.0,3630
3209,955466,9.0,1787
3210,725209,10.0,1000
3213,756027,1.0,1217
3214,1016151,6.0,3440
3215,846688,1.0,3168
3216,855514,6.0,694
3217,561234,2.0,2288
3218,375461,6.0,3618
3219,437977,5.0,3530
3220,1065638,2.0,794
3221,779091,9.0,2063
3222,1062952,5.0,4284
3223,742254,10.0,606
3224,920966,6.0,3374
3225,1128151,5.0,1241
3226,452434,4.0,4557
3227,1027937,8.0,678
3229,1051161,3.0,4873
3230,726975,5.0,2352
3231,1119757,4.0,3295
3232,458130,5.0,2194
3233,770978,5.0,2496
3234,643173,8.0,4476
3236,991630,5.0,2915
3238,514292,2.0,1906
3239,410230,2.0,3159
3240,1098694,6.0,2262
3241,521391,6.0,408
3243,1137407,5.0,2034
3245,897156,9.0,1885
3246,883915,9.0,4533
3248,795267,2.0,1230
3249,438764,2.0,2397
3250,757512,5.0,3339
3251,778502,9.0,2844
3252,361799,3.0,3106
3253,677560,8.0,4653
3254,430401,5.0,2228
3256,1148514,2.0,3917
3257,808600,3.0,2478
3258,536801,8.0,4638
3259,797292,4.0,4649
3261,853958,7.0,3901
3262,712456,6.0,851
3263,993698,7.0,3393
3264,796660,10.0,2906
3265,666044,4.0,2334
3266,918079,10.0,537
3268,788815,5.0,2512
3269,935227,7.0,4893
3270,1011271,1.0,1301
3271,921180,3.0,482
3272,979224,10.0,4119
3273,416729,8.0,2607
3274,574250,4.0,3545
3275,779348,2.0,647
3276,949509,7.0,368
3278,1018527,10.0,1776
3279,1069046,3.0,3760
3280,519625,2.0,2726
3281,613418,3.0,443
3282,791295,3.0,4155
3283,815106,6.0,4661
3284,996820,6.0,2909
3285,1130746,8.0,1880
3286,1131787,9.0,3805
3287,1131589,6.0,1506
3288,574074,5.0,1041
3289,663883,5.0,4585
3290,392561,2.0,1086
3292,442651,1.0,585
3293,744774,2.0,2846
3294,660976,6.0,3432
3295,823227,1.0,1664
3296,834435,6.0,912
3297,584217,5.0,3648
3298,475335,3.0,553
3299,727237,3.0,4824
3301,995803,6.0,4878
3305,1118953,1.0,415
3306,414122,7.0,524
3307,832027,9.0,4378
3308,1061788,2.0,3918
3309,850294,10.0,1423
3310,438433,5.0,4109
3311,675187,8.0,2560
3313,776104,3.0,4444
3314,675046,5.0,3389
3315,1082723,8.0,2160
3316,1113029,7.0,2629
3318,939546,1.0,4663
3319,540668,7.0,778
3320,689407,6.0,4316
3321,992428,9.0,3616
3323,457832,7.0,2672
3324,1062395,9.0,1196
3325,1102911,6.0,3140
3326,907388,2.0,4232
3327,616556,1.0,545
3328,869067,1.0,1588
3329,824648,5.0,4973
3331,719746,3.0,946
3333,450122,9.0,850
3334,487605,4.0,2712
3335,693633,7.0,2206
3336,501226,9.0,3855
3337,802204,6.0,402
3338,1094525,3.0,2005
3339,1036839,6.0,1910
3340,598554,10.0,1919
3341,422113,6.0,489
3342,455195,6.0,3222
3343,781539,6.0,4402
3344,885558,10.0,4627
3345,880015,7.0,4104
3346,873032,6.0,2182
3347,1034778,7.0,2789
3348,785505,5.0,548
3349,885839,2.0,3091
3351,1044983,2.0,2997
3352,994134,7.0,4892
3353,549223,10.0,4025
3355,620341,4.0,3895
3356,460479,2.0,369
3358,1088056,2.0,3444
3360,1027050,6.0,788
3361,810273,8.0,3193
3363,873775,7.0,3518
3364,559753,1.0,3533
3365,1106489,8.0,3859
3366,593449,1.0,4262
3367,918769,6.0,4301
3368,1053745,3.0,1316
3369,885022,5.0,277
3370,1111699,9.0,2321
3372,1136877,7.0,1624
3373,369757,7.0,577
3374,397815,6.0,2243
3376,479370,5.0,1267
3377,710094,2.0,3882
3378,854617,4.0,948
3379,1009376,8.0,3861
3380,355950,9.0,4508
3381,880324,6.0,4776
3382,865369,9.0,2832
3383,668631,10.0,2628
3384,618483,7.0,4960
3385,572616,8.0,4575
3387,950477,6.0,3578
3388,636894,10.0,2865
3390,1108656,9.0,1839
3391,678322,3.0,4398
3392,599413,7.0,2097
3393,1077996,3.0,3237
3394,1021529,1.0,3181
3395,781862,5.0,1403
3396,1042759,9.0,4903
3397,600574,1.0,2026
3398,592166,4.0,2409
3400,984448,6.0,1453
3401,791952,6.0,2510
3403,743507,8.0,4444
3404,727272,9.0,988
3405,1032264,2.0,4095
3406,757818,2.0,420
3407,821726,5.0,2150
3408,366990,6.0,4866
3409,1101373,3.0,2734
3411,419352,2.0,2175
3413,814353,6.0,239
3414,434078,8.0,3124
3415,467174,1.0,4387
3416,901858,6.0,1713
3417,434579,3.0,4224
3418,660552,6.0,3594
3420,375087,5.0,3685
3421,641122,2.0,3481
3422,607746,10.0,351
3423,588536,2.0,1245
3424,604850,6.0,2127
3425,934708,7.0,3494
3426,686175,7.0,366
3427,1108259,6.0,967
3428,986635,2.0,2645
3429,426331,1.0,993
3430,914078,6.0,3134
3431,381364,4.0,2153
3432,714798,6.0,4380
3434,603677,8.0,4063
3435,671409,1.0,4493
3436,544406,9.0,4559
3437,972495,6.0,3602
3438,652937,8.0,4370
3439,876563,8.0,3240
3440,1088708,2.0,3836
3441,386704,6.0,499
3442,674319,10.0,1575
3444,612591,9.0,4461
3445,921850,6.0,472
3446,702386,6.0,2155
3447,982069,3.0,3225
3448,572205,8.0,4619
3449,1057145,9.0,4243
3450,973740,4.0,3550
3451,820349,6.0,389
3452,736667,6.0,953
3453,776643,6.0,1545
3454,864995,1.0,4823
3456,595080,5.0,3441
3457,944776,6.0,3813
3458,965717,4.0,4326
3460,353142,9.0,3257
3462,1037597,9.0,4163
3463,468590,9.0,2958
3464,607369,6.0,423
3465,388652,7.0,1906
3466,744109,7.0,2794
3467,476534,10.0,3668
3468,564833,6.0,3754
3470,537151,7.0,2851
3471,842414,10.0,3546
3472,471529,7.0,2573
3473,617419,6.0,4589
3474,824458,9.0,1579
3475,855076,4.0,1717
3476,1125748,5.0,2163
3477,1034382,10.0,618
3478,928548,5.0,2569
3479,389101,7.0,4626
3480,1132574,5.0,3843
3481,905284,2.0,3695
3483,1030745,6.0,737
3484,428830,3.0,4824
3485,387549,3.0,2476
3486,986698,5.0,3587
3487,1085500,8.0,1347
3488,775062,1.0,459
3490,419365,10.0,853
3491,954160,5.0,3649
3492,445878,8.0,324
3493,953431,1.0,4230
3494,744904,4.0,1954
3495,924719,6.0,1568
3497,714525,8.0,2490
3498,678835,8.0,4478
3499,789285,1.0,1427
3501,430930,6.0,273
3502,905623,5.0,1175
3503,695340,4.0,2299
3504,826966,9.0,2454
3505,660148,7.0,1337
3506,533324,8.0,1566
3507,918604,8.0,3906
3508,501415,3.0,538
3509,553070,9.0,4083
3510,760970,6.0,3617
3511,393389,7.0,1525
3512,437975,3.0,4052
3513,494950,5.0,3497
3514,723539,10.0,3048
3515,1149562,1.0,3685
3516,378219,6.0,3486
3517,1127244,4.0,1606
3518,423846,7.0,1131
3519,671872,5.0,668
3520,1083765,10.0,1924
3521,903272,9.0,3645
3522,918346,5.0,4982
3523,837257,6.0,1823
3524,1146067,4.0,940
3526,456606,6.0,2544
3527,871982,7.0,4109
3528,691559,4.0,3791
3529,1098960,2.0,4380
3530,1060477,7.0,1063
3531,834705,6.0,440
3532,403398,6.0,2055
3533,942719,2.0,1469
3535,1131809,5.0,1304
3536,1027397,6.0,3582
3537,633206,7.0,2607
3538,1141104,1.0,844
3539,1047084,3.0,1352
3540,1098985,5.0,283
3541,744700,7.0,2853
3542,495349,4.0,292
3543,425937,2.0,767
3544,641737,5.0,784
3545,439879,6.0,1783
3546,849916,5.0,4390
3547,912931,7.0,3461
3548,478010,7.0,378
3549,782399,3.0,4040
3551,739500,4.0,2139
3552,620700,9.0,2269
3553,753320,3.0,1506
3554,911900,7.0,483
3555,977323,5.0,2111
3556,688680,2.0,2197
3557,801789,3.0,1771
3558,944351,7.0,785
3559,393440,1.0,1460
3560,985989,7.0,2861
3561,380982,9.0,397
3562,886753,6.0,3237
3563,728871,6.0,4114
3565,715163,9.0,3826
3566,378409,6.0,4094
3567,989948,6.0,4320
3568,544628,2.0,2847
3569,1087491,3.0,2380
3570,475499,8.0,1734
3571,1001166,7.0,3896
3572,593037,5.0,1176
3573,706688,7.0,2330
3574,874858,1.0,2685
3575,503339,7.0,2425
3576,976348,6.0,4184
3577,739042,5.0,3964
3578,840039,6.0,1415
3579,448967,8.0,2738
3580,560970,6.0,3286
3581,1068760,8.0,863
3582,679073,7.0,1683
3583,881889,2.0,874
3584,359691,6.0,3871
3585,774234,3.0,2692
3586,655658,4.0,486
3587,933456,8.0,4899
3588,723297,7.0,4324
3589,373124,4.0,1393
3590,925580,1.0,1438
3591,480260,5.0,4699
3592,1127260,9.0,2725
3593,739125,4.0,4581
3594,463593,10.0,1891
3595,644269,6.0,2731
3597,1020294,3.0,3591
3598,962744,5.0,1115
3599,778603,7.0,3122
3600,897209,6.0,2046
3601,664346,8.0,4608
3603,737212,4.0,628
3604,425508,9.0,4562
3605,1108824,3.0,1475
3606,372934,10.0,1992
3607,1116508,5.0,4515
3608,781274,4.0,1284
3609,1141478,3.0,4191
3610,740876,5.0,215
3611,373223,1.0,4127
3612,604205,5.0,731
3614,425144,8.0,1338
3615,803542,7.0,1518
3616,956543,2.0,4955
3617,599221,1.0,3987
3618,663647,4.0,3389
3619,772066,7.0,2037
3620,535567,2.0,742
3622,468141,3.0,365
3623,820883,8.0,3226
3624,920202,8.0,4234
3625,467171,7.0,3883
3626,1115108,1.0,1140
3627,613776,7.0,3819
3628,771845,4.0,4086
3629,915400,8.0,3757
3630,1020915,2.0,1474
3631,1013465,6.0,2244
3632,513707,5.0,1989
3633,1075186,4.0,4843
3634,1124821,2.0,4658
3635,627456,1.0,193
3636,614587,5.0,2534
3637,565789,4.0,3093
3638,646839,6.0,3489
3639,1120057,5.0,1420
3640,823813,1.0,2987
3641,692557,6.0,610
3642,912342,3.0,3325
3643,629461,2.0,4477
3644,594186,6.0,1313
3645,390736,5.0,3472
3646,1052474,2.0,2978
3647,554635,6.0,604
3648,368141,6.0,1541
3649,494967,3.0,4729
3653,351997,3.0,2403
3654,780607,5.0,2856
3655,976919,6.0,4828
3657,424907,9.0,4974
3658,1131661,2.0,4611
3659,970850,10.0,3805
3660,1062006,6.0,1608
3661,668554,7.0,4424
3662,623530,1.0,4981
3663,977362,3.0,3605
3664,1135644,4.0,1443
3665,1146443,2.0,337
3666,1038645,6.0,4898
3667,532815,2.0,2908
3668,846571,4.0,4149
3669,963845,5.0,1680
3670,599612,10.0,468
3671,1062300,6.0,1369
3672,664685,9.0,4742
3673,605177,1.0,3857
3674,538000,9.0,1274
3676,578687,1.0,1345
3677,1043856,6.0,520
3678,861467,9.0,4678
3679,1087209,9.0,3977
3680,565254,7.0,942
3681,780260,7.0,1458
3682,898074,8.0,4560
3683,660509,6.0,4648
3684,375574,4.0,3398
3685,746851,10.0,883
3686,747541,3.0,1291
3687,499841,8.0,4727
3688,776636,7.0,2024
3689,580481,5.0,876
3690,776766,9.0,3363
3691,740949,10.0,3222
3692,719678,3.0,3248
3694,533326,3.0,4225
3695,934727,7.0,3149
3696,917486,6.0,409
3697,968494,9.0,244
3698,939216,6.0,2105
3699,1051668,4.0,4144
3700,881576,4.0,3572
3701,1113498,2.0,1634
3702,609697,2.0,3775
3703,570866,10.0,1704
3704,691452,8.0,4013
3705,955430,8.0,3791
3706,489431,1.0,4396
3707,970933,2.0,504
3708,554359,3.0,3409
3709,490245,4.0,1945
3710,677567,1.0,3219
3711,1043451,1.0,3279
3712,1079512,3.0,4863
3713,373933,3.0,2060
3714,646865,9.0,4786
3715,613825,1.0,2145
3716,727448,2.0,4112
